layer,trial_index,tile_size,execution_time
layer_5,0,"[[25, [1, 7, 7, 1, 1]], [27, [1, 1, 1, 4, 2]], [29, [36, 1, 2]], [56, 2], [62, 0], [68, 0], [95, 2]]",[6.66986513720198e-05]
layer_5,1,"[[25, [1, 7, 7, 1, 1]], [27, [1, 4, 1, 1, 2]], [29, [9, 8, 1]], [56, 1], [62, 1], [68, 1], [95, 0]]",[6.742759478885894e-05]
layer_5,2,"[[25, [1, 49, 1, 1, 1]], [27, [1, 1, 2, 2, 2]], [29, [9, 2, 4]], [56, 0], [62, 1], [68, 2], [95, 2]]",[4.027891104461371e-05]
layer_5,3,"[[25, [7, 7, 1, 1, 1]], [27, [1, 2, 4, 1, 1]], [29, [12, 2, 3]], [56, 1], [62, 1], [68, 2], [95, 0]]",[3.430437799161115e-05]
layer_5,4,"[[25, [1, 7, 7, 1, 1]], [27, [1, 1, 2, 1, 4]], [29, [18, 4, 1]], [56, 3], [62, 1], [68, 3], [95, 2]]",[10000000000]
layer_5,5,"[[25, [49, 1, 1, 1, 1]], [27, [4, 1, 1, 2, 1]], [29, [8, 3, 3]], [56, 2], [62, 1], [68, 1], [95, 1]]",[8.873812689173458e-05]
layer_5,6,"[[25, [49, 1, 1, 1, 1]], [27, [1, 1, 2, 4, 1]], [29, [72, 1, 1]], [56, 2], [62, 0], [68, 3], [95, 1]]",[10000000000]
layer_5,7,"[[25, [1, 49, 1, 1, 1]], [27, [2, 2, 1, 2, 1]], [29, [36, 2, 1]], [56, 0], [62, 3], [68, 3], [95, 2]]",[10000000000]
layer_5,8,"[[25, [49, 1, 1, 1, 1]], [27, [1, 1, 2, 4, 1]], [29, [72, 1, 1]], [56, 2], [62, 0], [68, 1], [95, 1]]",[9.293826253132831e-05]
layer_5,9,"[[25, [1, 7, 1, 7, 1]], [27, [1, 4, 1, 1, 2]], [29, [18, 1, 4]], [56, 2], [62, 2], [68, 3], [95, 1]]",[5.342919309838473e-05]
layer_5,10,"[[25, [7, 7, 1, 1, 1]], [27, [1, 4, 1, 2, 1]], [29, [12, 2, 3]], [56, 0], [62, 1], [68, 3], [95, 4]]",[10000000000]
layer_5,11,"[[25, [7, 1, 7, 1, 1]], [27, [2, 2, 1, 2, 1]], [29, [8, 3, 3]], [56, 1], [62, 0], [68, 1], [95, 4]]",[1.6770585117691722e-05]
layer_5,12,"[[25, [1, 7, 7, 1, 1]], [27, [1, 1, 4, 1, 2]], [29, [18, 1, 4]], [56, 0], [62, 3], [68, 2], [95, 4]]",[0.00010365061885245902]
layer_5,13,"[[25, [49, 1, 1, 1, 1]], [27, [2, 1, 2, 2, 1]], [29, [12, 3, 2]], [56, 0], [62, 2], [68, 0], [95, 2]]",[7.508372345679012e-05]
